157 - 265.0MVA, Nodes: 9 - 40 Cost:42.91784647481559 Built:1.0
2012 - 1526.0MVA, Nodes: 107 - 1 Cost:227.6645089843919 Built:1.0
61 - 265.0MVA, Nodes: 5 - 107 Cost:35.36568782214989 Built:1.0
5 - 265.0MVA, Nodes: 2 - 149 Cost:31.086135649753672 Built:1.0
97 - 265.0MVA, Nodes: 7 - 40 Cost:30.771403248053595 Built:1.0
91 - 265.0MVA, Nodes: 6 - 107 Cost:41.43743857870659 Built:1.0
22 - 265.0MVA, Nodes: 3 - 149 Cost:37.47409188942861 Built:0.9999993647606242
2079 - 504.0MVA, Nodes: 149 - 1 Cost:71.55630839260448 Built:1.0
683 - 759.0MVA, Nodes: 40 - 107 Cost:43.724158156918016 Built:0.9999999999859989
26 - 265.0MVA, Nodes: 4 - 107 Cost:30.778940623071335 Built:1.0
132 - 265.0MVA, Nodes: 8 - 40 Cost:35.19124303126358 Built:0.9999999999983278

